,open,close,high,low,volume,money
2022-01-04,19.49,20.49,20.65,19.36,194720202.0,3956475666.05
2022-01-05,20.43,21.17,21.61,20.36,193045791.0,4075047844.56
2022-01-06,21.12,21.05,21.66,20.79,138027406.0,2923511291.25
2022-01-07,21.38,21.89,22.46,21.35,226276805.0,4969780143.69
2022-01-10,21.8,22.16,22.66,21.56,152779663.0,3376585470.0
2022-01-11,22.11,22.3,23.09,21.79,170265125.0,3837452592.0
2022-01-12,22.15,22.05,22.31,21.51,126895594.0,2783109367.0
2022-01-13,22.0,21.53,22.28,21.47,91286731.0,1984764398.0
2022-01-14,21.59,20.7,21.7,20.67,104725179.0,2191322326.0
2022-01-17,20.66,20.87,21.22,20.66,62602107.0,1311268282.0
2022-01-18,20.95,21.59,21.9,20.86,106723695.0,2286204060.0
2022-01-19,21.8,21.9,22.3,21.5,119176273.0,2611685896.0
2022-01-20,21.99,22.11,22.6,21.9,159201940.0,3538267133.0
2022-01-21,21.92,21.64,22.07,21.5,79129554.0,1717179550.0
2022-01-24,21.59,21.7,22.0,21.25,81358420.0,1761877978.0
2022-01-25,21.6,20.82,21.68,20.73,106317655.0,2239316767.0
